
Advanced Calibration Data
,Temperature,Cal Date, Tm, Tzs, Tb
,Pressure,Cal Date,m2,m1,m0,b2,b1,b0,Linear(a),Linear(b)
,Temperature,unknown,0.000000,0.00,0.000000
,Pressure,25-Mar-13 09:51:57,0.0000000000,-0.0000630000,1.0006790161,0.0000090000,0.0004550000,0.1534399986,0.0000000000,1.0000000000

Field Calibration Data
,Temperature,Cal Date,Slope,Offset
,Pressure,Cal Date,Slope,Offset
,Temperature(degC),unknown,1.000000,0.000
,Pressure(psi),unknown,1.000000,0.0000

Sensor/File information
Sensor SN, 21309003 ,,Modbus Addr., 2 
Sensor Type,PT2X,,Initialized w/fw Rev,"2. 9"
Sensor Name,INW Smart Sensor,,Uploaded,"Aqua4Plus 1.9.10"
File Name,FCR_INF_20181119,,Exported,"Aqua4Plus 1.9.10"
# Records,  6050 
Statistical Data,,Temperature(degC),Pressure(psi),
,Sensor Range,-40 - +125 degC,30 psia,
,Minimum,0.13,14.022,
,Maximum,9.69,14.614,
,Mean,5.25,14.369,
,Variance,2.315,0.0113,
,Std Deviation,1.522,0.1063,
,,,,
,Field Cal Date,unknown,unknown,
Rec #,Date/Time,Temperature(degC),Pressure(psi)
1,19-Nov-18 14:00:00,9.69,14.360
2,19-Nov-18 14:15:00,9.63,14.358
3,19-Nov-18 14:30:00,9.63,14.356
4,19-Nov-18 14:45:00,9.56,14.353
5,19-Nov-18 15:00:00,9.56,14.353
6,19-Nov-18 15:15:00,9.50,14.352
7,19-Nov-18 15:30:00,9.50,14.349
8,19-Nov-18 15:45:00,9.44,14.349
9,19-Nov-18 16:00:00,9.44,14.347
10,19-Nov-18 16:15:00,9.44,14.346
11,19-Nov-18 16:30:00,9.44,14.340
12,19-Nov-18 16:45:00,9.38,14.344
13,19-Nov-18 17:00:00,9.31,14.340
14,19-Nov-18 17:15:00,9.25,14.342
15,19-Nov-18 17:30:00,9.13,14.342
16,19-Nov-18 17:45:00,9.06,14.342
17,19-Nov-18 18:00:00,9.06,14.341
18,19-Nov-18 18:15:00,9.00,14.339
19,19-Nov-18 18:30:00,8.94,14.342
20,19-Nov-18 18:45:00,8.94,14.338
21,19-Nov-18 19:00:00,8.88,14.338
22,19-Nov-18 19:15:00,8.88,14.340
23,19-Nov-18 19:30:00,8.88,14.337
24,19-Nov-18 19:45:00,8.88,14.336
25,19-Nov-18 20:00:00,8.88,14.337
26,19-Nov-18 20:15:00,8.88,14.333
27,19-Nov-18 20:30:00,8.88,14.331
28,19-Nov-18 20:45:00,8.75,14.333
29,19-Nov-18 21:00:00,8.75,14.328
30,19-Nov-18 21:15:00,8.75,14.329
31,19-Nov-18 21:30:00,8.75,14.329
32,19-Nov-18 21:45:00,8.75,14.330
33,19-Nov-18 22:00:00,8.81,14.327
34,19-Nov-18 22:15:00,8.81,14.325
35,19-Nov-18 22:30:00,8.81,14.324
36,19-Nov-18 22:45:00,8.88,14.322
37,19-Nov-18 23:00:00,8.81,14.319
38,19-Nov-18 23:15:00,8.75,14.320
39,19-Nov-18 23:30:00,8.75,14.317
40,19-Nov-18 23:45:00,8.75,14.315
41,20-Nov-18 00:00:00,8.69,14.317
42,20-Nov-18 00:15:00,8.63,14.315
43,20-Nov-18 00:30:00,8.63,14.314
44,20-Nov-18 00:45:00,8.63,14.315
45,20-Nov-18 01:00:00,8.63,14.313
46,20-Nov-18 01:15:00,8.63,14.311
47,20-Nov-18 01:30:00,8.69,14.312
48,20-Nov-18 01:45:00,8.75,14.310
49,20-Nov-18 02:00:00,8.81,14.312
50,20-Nov-18 02:15:00,8.81,14.312
51,20-Nov-18 02:30:00,8.81,14.311
52,20-Nov-18 02:45:00,8.81,14.311
53,20-Nov-18 03:00:00,8.81,14.307
54,20-Nov-18 03:15:00,8.81,14.305
55,20-Nov-18 03:30:00,8.75,14.306
56,20-Nov-18 03:45:00,8.75,14.305
57,20-Nov-18 04:00:00,8.75,14.308
58,20-Nov-18 04:15:00,8.75,14.304
59,20-Nov-18 04:30:00,8.81,14.306
60,20-Nov-18 04:45:00,8.81,14.309
61,20-Nov-18 05:00:00,8.81,14.308
62,20-Nov-18 05:15:00,8.81,14.314
63,20-Nov-18 05:30:00,8.81,14.305
64,20-Nov-18 05:45:00,8.81,14.306
65,20-Nov-18 06:00:00,8.75,14.310
66,20-Nov-18 06:15:00,8.75,14.315
67,20-Nov-18 06:30:00,8.75,14.317
68,20-Nov-18 06:45:00,8.75,14.315
69,20-Nov-18 07:00:00,8.69,14.317
70,20-Nov-18 07:15:00,8.69,14.320
71,20-Nov-18 07:30:00,8.69,14.322
72,20-Nov-18 07:45:00,8.63,14.326
73,20-Nov-18 08:00:00,8.69,14.327
74,20-Nov-18 08:15:00,8.63,14.327
75,20-Nov-18 08:30:00,8.63,14.329
76,20-Nov-18 08:45:00,8.63,14.334
77,20-Nov-18 09:00:00,8.69,14.334
78,20-Nov-18 09:15:00,8.69,14.337
79,20-Nov-18 09:30:00,8.75,14.341
80,20-Nov-18 09:45:00,8.75,14.344
81,20-Nov-18 10:00:00,8.69,14.351
82,20-Nov-18 10:15:00,8.75,14.344
83,20-Nov-18 10:30:00,8.75,14.347
