Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP,PAR,Salinity,Descent Rate (m/s),Flag,DOY
5/4/2018 12:13,0.589,20.1115,0.9323,2.9018,29.104,26.260153,7.7352,85.271,7.441,341.152,991.81,1.68374877,0.098,0,124.5096875
5/4/2018 12:13,0.614,20.1141,0.9365,2.8658,29.155,26.300556,7.7484,85.397,7.441,341.0846,1048.1,1.686766166,0.1,0,124.5096875
5/4/2018 12:13,0.638,20.1221,0.9163,2.8144,29.145,26.284264,7.721,85.073,7.44,341.1279,823.38,1.68584117,0.098,0,124.5096875
5/4/2018 12:13,0.663,20.1221,0.9092,2.8304,29.125,26.253649,7.6649,84.418,7.436,341.3314,630.82,1.684617617,0.098,0,124.5096875
5/4/2018 12:13,0.685,20.1115,0.9235,2.8757,29.143,26.24784,7.6027,83.672,7.43,341.4806,601.36,1.686132483,0.1,0,124.5096875
5/4/2018 12:13,0.707,20.0986,0.9601,2.9043,29.136,26.213999,7.5573,83.096,7.425,341.5546,595.39,1.686208529,0.102,0,124.5096875
5/4/2018 12:13,0.734,20.088,1.0217,2.9016,29.105,26.161914,7.5546,82.997,7.421,341.6236,572.56,1.684725626,0.102,0,124.5096875
5/4/2018 12:13,0.767,20.0718,1.0621,2.9042,29.091,26.125993,7.6131,83.572,7.42,341.6273,561.41,1.684501385,0.1,0,124.5096875
5/4/2018 12:13,0.798,20.032,1.0706,2.9358,29.091,26.097106,7.7222,84.685,7.423,341.5128,585.2,1.686058208,0.096,0,124.5096875
5/4/2018 12:13,0.822,19.9773,1.0969,2.9482,29.095,26.066581,7.8496,85.981,7.428,341.444,583.76,1.68844762,0.093,0,124.5096875
5/4/2018 12:13,0.84,19.9379,1.1419,2.9309,29.07,26.010833,7.9665,87.165,7.432,341.4838,550.41,1.688459742,0.089,0,124.5096875
5/4/2018 12:13,0.856,19.9035,1.1642,2.9102,29.013,25.930962,8.0562,88.057,7.436,341.5637,559.76,1.686308606,0.088,0,124.5096875
5/4/2018 12:13,0.876,19.8541,1.1737,2.9113,28.968,25.86274,8.1136,88.598,7.439,341.6358,554.66,1.685480592,0.091,0,124.5096875
5/4/2018 12:13,0.901,19.7866,1.2018,2.914,28.951,25.820848,8.1444,88.855,7.44,341.7527,506.74,1.687086055,0.097,0,124.5096875
5/4/2018 12:13,0.929,19.7313,1.2377,2.8813,28.962,25.805369,8.1566,88.91,7.44,341.8588,478.86,1.689941783,0.103,0,124.5096875
5/4/2018 12:13,0.957,19.6843,1.2497,2.8518,28.987,25.802536,8.1586,88.854,7.44,341.8873,460.76,1.693340583,0.106,0,124.5096875
5/4/2018 12:13,0.987,19.6319,1.2443,2.8631,28.993,25.786554,8.1681,88.893,7.44,342.0099,457.19,1.695785387,0.105,0,124.5096875
5/4/2018 12:13,1.017,19.5897,1.2459,2.8651,28.96,25.739087,8.2031,89.216,7.439,342.2232,487.94,1.695416143,0.102,0,124.5096875
5/4/2018 12:13,1.042,19.5465,1.242,2.8455,28.909,25.673035,8.2661,89.836,7.437,342.4015,593.4,1.693970436,0.1,0,124.5096875
5/4/2018 12:13,1.064,19.4993,1.2254,2.8396,28.882,25.622817,8.3466,90.627,7.432,342.5305,642.37,1.694168546,0.098,0,124.5096875
5/4/2018 12:13,1.085,19.4641,1.2289,2.8541,28.87,25.576304,8.4318,91.441,7.427,342.664,520.99,1.694821086,0.097,0,124.5096875
5/4/2018 12:13,1.11,19.4355,1.2933,2.8997,28.828,25.491554,8.5176,92.219,7.425,342.8118,416.6,1.693348747,0.097,0,124.5096875
5/4/2018 12:13,1.137,19.4012,1.3883,2.9331,28.759,25.359948,8.6106,92.994,7.422,343.0269,394.91,1.69042268,0.098,0,124.5096875
5/4/2018 12:13,1.165,19.3583,1.4401,2.9217,28.689,25.191293,8.7161,93.775,7.416,343.3716,399.43,1.687770693,0.1,0,124.5096875
5/4/2018 12:13,1.19,19.298,1.442,2.8846,28.613,24.975988,8.8302,94.505,7.41,343.6242,402.84,1.685428842,0.103,0,124.5096875
