Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
5/6/2019 9:12:46 AM	0.00	1.12	0.00	0.00	0.00	0.00	0.00	0.15	1.12	80.03	-0.05	19.40	0	1120	0	0	0	0	0	0	1120	139.50	-0.22	0.96	5.99	2.89	8.19	1.09	1.00	32.42	10.31
5/6/2019 9:12:48 AM	0.00	1.35	0.00	0.00	0.00	0.00	0.00	0.00	1.35	80.26	-0.05	19.40	0	1350	0	0	0	0	0	0	1350	139.91	-0.20	-0.32	8.38	0.65	7.91	0.36	1.00	32.57	10.34
5/6/2019 9:12:51 AM	0.09	1.32	0.00	0.00	0.00	0.00	0.00	0.00	1.41	80.90	-0.05	19.38	49	1321	0	0	0	0	0	0	1370	141.03	-1.06	1.24	8.35	1.24	7.63	0.59	0.99	32.63	10.33
5/6/2019 9:12:53 AM	0.31	1.18	0.00	0.00	0.00	0.00	0.00	0.00	1.49	79.76	-0.05	19.40	164	1177	0	0	0	0	0	0	1341	139.03	-0.94	-1.68	8.26	-1.40	7.73	2.39	0.99	32.78	10.35
5/6/2019 9:12:56 AM	0.47	1.09	0.00	0.00	0.00	0.00	0.00	0.00	1.56	79.73	-0.05	19.39	247	1093	0	0	0	0	0	0	1340	138.99	0.52	1.50	5.95	1.36	8.42	1.59	1.00	32.80	10.33
5/6/2019 9:12:58 AM	0.15	1.47	0.00	0.00	0.00	0.00	0.00	0.00	1.63	79.52	-0.05	19.39	81	1475	0	0	0	0	0	0	1556	138.62	0.00	0.16	9.84	0.58	7.74	1.07	1.00	32.91	10.36
5/6/2019 9:13:00 AM	0.27	0.94	0.00	0.00	0.00	0.00	0.00	0.04	1.21	80.64	-0.05	19.40	144	943	0	0	0	0	0	0	1087	140.58	0.26	-0.44	4.83	1.66	8.28	1.18	1.00	32.95	10.38
5/6/2019 9:13:03 AM	0.02	1.59	0.08	0.00	0.00	0.00	0.00	0.00	1.68	79.38	-0.05	19.39	8	1585	37	0	0	0	0	0	1631	138.38	1.82	1.13	8.70	0.35	9.44	0.91	0.99	33.08	10.37
5/6/2019 9:13:05 AM	0.00	1.39	0.00	0.00	0.00	0.00	0.00	0.00	1.39	80.23	-0.04	19.40	0	1387	0	0	0	0	0	0	1387	139.86	1.91	-1.27	7.51	1.33	8.92	-1.23	1.00	33.16	10.40
