Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
5/13/2019 10:50:40 AM	4.59	0.09	3.08	0.00	0.00	0.00	0.00	0.24	7.76	98.86	0.39	19.35	2432	93	1384	0	0	0	0	0	3909	172.31	11.36	1.15	9.41	14.23	9.91	29.80	1.04	27.76	8.34
5/13/2019 10:50:42 AM	5.88	0.00	2.15	0.00	0.00	0.00	0.00	0.29	8.03	97.72	0.41	19.39	3118	0	968	0	0	0	0	0	4085	170.32	9.76	0.18	6.84	14.63	10.61	30.91	1.04	27.84	8.35
5/13/2019 10:50:44 AM	4.51	0.00	3.51	0.00	0.00	0.00	0.00	0.04	8.02	98.69	0.46	19.35	2388	0	1582	0	0	0	0	0	3970	172.02	11.77	0.98	9.33	12.68	9.38	29.98	1.05	27.90	8.36
5/13/2019 10:50:47 AM	6.76	0.00	2.17	0.00	0.00	0.00	0.00	0.00	8.93	99.24	0.49	19.21	3581	0	977	0	0	0	0	0	4558	172.96	9.13	3.49	8.21	11.81	9.57	32.05	1.05	27.98	8.38
5/13/2019 10:50:49 AM	1.55	0.42	3.89	0.00	0.00	0.00	0.00	0.61	5.87	100.00	0.51	19.20	822	424	1752	0	0	0	0	0	2998	174.51	12.67	1.79	8.63	15.40	10.57	26.79	1.05	28.04	8.37
5/13/2019 10:50:51 AM	1.37	0.00	4.96	0.00	0.00	0.00	0.00	0.27	6.33	98.26	0.53	19.27	727	0	2231	0	0	0	0	0	2958	171.26	13.52	2.54	5.90	12.59	8.30	29.06	1.05	28.11	8.38
5/13/2019 10:50:54 AM	4.42	0.00	3.32	0.00	0.00	0.00	0.00	0.17	7.74	98.52	0.56	19.15	2342	0	1494	0	0	0	0	0	3836	171.72	11.30	1.89	7.40	13.38	10.13	30.16	1.05	28.20	8.37
5/13/2019 10:50:56 AM	2.86	0.08	4.40	0.00	0.00	0.00	0.00	0.14	7.35	99.98	0.58	19.11	1518	84	1980	0	0	0	0	0	3583	174.25	13.06	3.24	9.01	13.10	9.71	29.36	1.06	28.27	8.38
5/13/2019 10:50:59 AM	3.56	0.00	3.41	0.07	0.00	0.00	0.00	0.54	7.04	98.80	0.61	19.30	1886	0	1535	2	0	0	0	0	3423	172.21	12.17	1.14	5.76	16.27	11.79	31.02	1.06	28.33	8.40
5/13/2019 10:51:01 AM	5.23	0.00	2.25	0.00	0.00	0.00	0.00	0.29	7.48	99.44	0.64	19.68	2770	0	1012	0	0	0	0	0	3783	173.33	9.58	1.97	8.55	13.75	7.02	29.37	1.06	28.41	8.41
5/13/2019 10:51:03 AM	4.41	0.00	3.43	0.00	0.00	0.00	0.00	0.23	7.84	98.68	0.66	19.85	2340	0	1542	0	0	0	0	0	3882	172.00	11.45	2.13	5.86	13.76	10.03	31.84	1.06	28.46	8.42
5/13/2019 10:51:06 AM	5.15	0.00	2.80	0.00	0.00	0.00	0.00	0.18	7.95	99.82	0.69	19.79	2730	0	1258	0	0	0	0	0	3988	173.98	10.41	2.82	7.61	13.62	9.71	30.36	1.07	28.54	8.46
5/13/2019 10:51:08 AM	5.60	0.00	1.79	0.44	0.00	0.00	0.00	0.36	7.82	98.96	0.71	19.77	2966	0	804	13	0	0	0	0	3783	172.47	10.12	3.61	8.16	15.33	11.39	30.51	1.07	28.62	8.43
5/13/2019 10:51:11 AM	5.18	0.00	2.78	0.25	0.00	0.00	0.00	0.31	8.21	99.78	0.74	19.71	2744	0	1251	7	0	0	0	0	4002	173.91	11.41	4.92	8.58	15.55	10.72	32.32	1.07	28.70	8.46
5/13/2019 10:51:13 AM	4.07	0.00	3.29	0.00	0.00	0.00	0.00	0.19	7.37	99.30	0.77	19.67	2159	0	1482	0	0	0	0	0	3641	173.07	10.98	3.15	7.51	13.01	8.72	29.28	1.08	28.76	8.46
5/13/2019 10:51:15 AM	5.33	0.00	2.82	0.00	0.00	0.00	0.00	0.00	8.15	99.37	0.79	19.63	2825	0	1269	0	0	0	0	0	4093	173.20	10.32	2.11	9.37	12.00	8.61	29.49	1.08	28.82	8.48
5/13/2019 10:51:18 AM	3.85	0.00	3.80	0.00	0.00	0.00	0.00	0.31	7.65	99.89	0.83	19.61	2039	0	1711	0	0	0	0	0	3750	174.10	12.59	2.66	8.98	14.97	8.87	31.48	1.08	28.91	8.50
5/13/2019 10:51:20 AM	5.53	0.00	2.36	0.00	0.00	0.00	0.00	0.37	7.89	99.10	0.86	19.65	2933	0	1060	0	0	0	0	0	3994	172.72	10.15	2.08	7.50	15.39	9.74	31.28	1.08	28.99	8.49
5/13/2019 10:51:22 AM	2.81	0.00	4.40	0.00	0.00	0.00	0.00	0.31	7.20	99.25	0.88	19.59	1487	0	1979	0	0	0	0	0	3466	172.99	13.29	3.24	8.02	14.51	9.52	30.65	1.09	29.05	8.50
5/13/2019 10:51:25 AM	2.28	0.00	4.06	0.00	0.00	0.00	0.00	0.67	6.33	98.79	0.90	19.50	1207	0	1825	0	0	0	0	0	3032	172.18	12.83	2.63	5.82	16.11	6.60	31.90	1.09	29.12	8.52
