Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
5/16/2019 1:47:58 PM	1.62	0.00	1.74	0.38	0.00	0.00	0.00	0.25	3.74	99.28	0.46	20.34	857	0	785	11	0	0	0	0	1653	173.04	6.93	3.32	2.95	8.11	8.36	16.73	1.04	40.26	12.68
5/16/2019 1:48:00 PM	1.93	0.00	1.43	0.76	0.00	0.00	0.00	0.26	4.12	100.00	0.57	20.10	1023	0	642	23	0	0	0	0	1688	175.07	7.85	4.21	6.40	9.11	8.25	17.63	1.06	40.32	12.69
5/16/2019 1:48:03 PM	1.41	0.00	3.46	0.07	0.00	0.00	0.00	0.08	4.94	100.00	0.68	19.68	748	0	1558	2	0	0	0	0	2308	176.70	9.79	2.22	4.94	8.67	8.56	20.56	1.07	40.37	12.70
5/16/2019 1:48:05 PM	2.70	0.00	2.17	0.00	0.00	0.00	0.00	0.00	4.87	100.00	0.81	19.35	1429	0	979	0	0	0	0	0	2407	174.77	6.82	2.75	5.01	6.45	6.12	18.77	1.08	40.42	12.68
5/16/2019 1:48:07 PM	1.06	0.00	3.76	0.00	0.00	0.00	0.00	0.14	4.82	99.39	0.93	19.31	563	0	1690	0	0	0	0	0	2253	173.23	10.20	0.26	3.56	8.74	8.08	21.59	1.09	40.45	12.70
5/16/2019 1:48:10 PM	1.14	0.00	2.50	0.00	0.00	0.00	0.00	0.51	3.64	99.20	1.02	19.25	603	0	1127	0	0	0	0	0	1730	172.90	8.11	2.04	3.38	10.64	6.35	19.06	1.10	40.52	12.74
5/16/2019 1:48:12 PM	5.39	0.04	0.00	0.51	0.00	0.00	0.00	0.23	5.94	100.00	1.13	19.12	2855	38	0	15	0	0	0	0	2909	177.51	5.09	2.35	6.53	10.98	10.32	21.05	1.11	40.58	12.73
5/16/2019 1:48:14 PM	1.16	0.00	3.15	0.00	0.00	0.00	0.00	0.26	4.31	100.00	1.25	18.94	613	0	1419	0	0	0	0	0	2032	177.08	8.77	3.06	2.91	8.89	6.01	20.71	1.12	40.64	12.73
5/16/2019 1:48:17 PM	1.01	0.00	2.84	0.00	0.00	0.00	0.00	0.40	3.85	100.00	1.41	18.73	534	0	1278	0	0	0	0	0	1812	175.58	9.05	-0.98	4.99	10.18	6.77	18.81	1.14	40.65	12.75
5/16/2019 1:48:19 PM	3.79	0.00	2.13	0.18	0.00	0.00	0.00	0.00	6.10	100.00	1.52	18.42	2008	0	960	5	0	0	0	0	2974	174.49	7.95	3.18	6.44	8.08	8.83	22.64	1.15	40.72	12.72
5/16/2019 1:48:22 PM	1.64	0.00	2.74	0.00	0.00	0.00	0.00	0.19	4.38	100.00	1.63	18.44	870	0	1234	0	0	0	0	0	2105	175.36	8.52	-1.70	3.51	8.62	8.90	18.77	1.16	40.72	12.76
5/16/2019 1:48:24 PM	3.57	0.00	2.54	0.00	0.00	0.00	0.00	0.00	6.11	100.00	1.77	18.38	1893	0	1144	0	0	0	0	0	3036	176.50	8.55	-1.19	7.29	7.02	6.37	23.87	1.17	40.79	12.74
5/16/2019 1:48:26 PM	3.98	0.00	1.19	0.00	0.00	0.00	0.00	0.36	5.16	100.00	1.91	18.19	2107	0	534	0	0	0	0	0	2641	175.82	6.38	1.30	5.23	10.87	6.06	21.32	1.19	40.82	12.76
5/16/2019 1:48:29 PM	3.78	0.00	1.61	0.40	0.00	0.00	0.00	0.00	5.79	99.83	2.02	18.16	2003	0	723	12	0	0	0	0	2738	173.99	7.14	4.90	5.33	7.85	9.07	21.39	1.20	40.85	12.79
5/16/2019 1:48:31 PM	1.98	0.00	3.80	0.00	0.00	0.00	0.00	0.00	5.78	100.00	2.11	18.19	1048	0	1711	0	0	0	0	0	2759	175.63	9.75	5.13	3.55	7.56	7.27	24.61	1.21	40.90	12.78
5/16/2019 1:48:33 PM	5.99	0.00	0.36	0.54	0.00	0.00	0.00	0.04	6.89	100.00	2.20	18.39	3175	0	162	16	0	0	0	0	3353	176.30	6.57	2.12	7.67	10.38	10.43	23.14	1.22	40.93	12.77
5/16/2019 1:48:36 PM	2.83	0.00	3.12	0.00	0.00	0.00	0.00	0.32	5.95	100.00	2.29	18.48	1497	0	1405	0	0	0	0	0	2902	176.73	10.42	2.00	8.42	12.19	4.82	25.81	1.22	40.96	12.78
5/16/2019 1:48:38 PM	3.25	0.00	2.89	0.37	0.00	0.00	0.00	0.27	6.51	100.00	2.40	18.39	1724	0	1301	11	0	0	0	0	3036	179.45	11.00	2.87	7.34	12.82	10.40	26.65	1.24	40.97	12.78
5/16/2019 1:48:41 PM	7.40	0.00	1.78	0.00	0.00	0.00	0.00	0.00	9.18	100.00	2.51	18.16	3920	0	803	0	0	0	0	0	4723	175.22	8.80	-0.08	6.74	12.07	12.68	32.18	1.25	41.02	12.77
5/16/2019 1:48:43 PM	3.87	0.00	3.46	0.00	0.00	0.00	0.00	0.14	7.34	100.00	2.60	18.20	2051	0	1559	0	0	0	0	0	3610	175.41	11.14	1.66	6.45	12.26	8.80	29.47	1.25	41.04	12.81
5/16/2019 1:48:45 PM	6.07	0.00	2.42	0.00	0.00	0.00	0.00	0.00	8.50	100.00	2.68	18.19	3220	0	1089	0	0	0	0	0	4309	175.88	9.14	2.72	8.25	9.43	7.80	32.14	1.26	41.05	12.80
5/16/2019 1:48:48 PM	5.09	0.00	4.09	0.00	0.00	0.00	0.00	0.02	9.17	100.00	2.82	17.28	2695	0	1839	0	0	0	0	0	4534	176.33	12.96	1.17	6.60	13.66	11.42	35.41	1.28	41.08	12.80
5/16/2019 1:48:50 PM	3.83	0.00	4.82	0.00	0.00	0.00	0.00	0.20	8.65	100.00	2.95	16.53	2031	0	2168	0	0	0	0	0	4198	175.68	14.39	2.08	6.75	14.92	10.44	36.15	1.29	41.10	12.81
5/16/2019 1:48:53 PM	5.20	0.00	4.55	0.00	0.00	0.00	0.00	0.08	9.75	100.00	3.10	16.34	2754	0	2049	0	0	0	0	0	4802	175.74	14.25	2.33	7.82	15.19	11.18	38.27	1.30	41.10	12.80
5/16/2019 1:48:55 PM	5.64	0.00	4.40	0.00	0.00	0.00	0.00	0.13	10.04	100.00	3.26	15.71	2992	0	1978	0	0	0	0	0	4970	176.10	14.46	2.21	9.05	16.43	11.87	38.92	1.32	41.14	12.82
5/16/2019 1:48:57 PM	4.78	0.00	4.89	0.00	0.00	0.00	0.00	0.12	9.67	100.00	3.38	15.30	2532	0	2202	0	0	0	0	0	4734	177.26	15.13	2.40	9.21	15.93	11.27	38.20	1.33	41.13	12.82
5/16/2019 1:49:00 PM	5.86	0.00	4.78	0.00	0.00	0.00	0.00	0.06	10.64	100.00	3.48	15.32	3105	0	2150	0	0	0	0	0	5255	175.82	15.24	2.92	9.74	16.53	11.51	40.94	1.34	41.14	12.81
5/16/2019 1:49:02 PM	4.77	0.00	4.89	0.00	0.00	0.00	0.00	0.21	9.66	100.00	3.61	15.30	2530	0	2200	0	0	0	0	0	4730	177.04	15.14	4.03	8.77	16.79	11.33	38.99	1.35	41.15	12.82
5/16/2019 1:49:04 PM	5.97	0.00	4.32	0.00	0.00	0.00	0.00	0.19	10.29	100.00	3.74	15.18	3161	0	1946	0	0	0	0	0	5107	176.35	14.76	2.46	10.31	17.58	12.23	39.60	1.37	41.16	12.80
5/16/2019 1:49:07 PM	5.19	0.00	5.23	0.00	0.00	0.00	0.00	0.08	10.41	100.00	3.86	15.32	2749	0	2352	0	0	0	0	0	5101	176.60	16.08	3.43	10.28	16.91	12.69	40.17	1.38	41.16	12.82
5/16/2019 1:49:09 PM	5.84	0.00	5.17	0.00	0.00	0.00	0.00	0.15	11.01	100.00	3.94	14.97	3097	0	2325	0	0	0	0	0	5422	176.76	16.50	3.39	10.75	18.38	12.73	42.80	1.39	41.16	12.84
5/16/2019 1:49:12 PM	5.93	0.00	5.36	0.00	0.00	0.00	0.00	0.15	11.29	100.00	4.04	15.10	3141	0	2413	0	0	0	0	0	5554	175.93	17.16	2.15	11.18	18.83	13.25	43.84	1.40	41.17	12.82
5/16/2019 1:49:14 PM	5.67	0.00	4.90	0.24	0.00	0.00	0.00	0.31	10.81	100.00	4.13	15.15	3004	0	2206	7	0	0	0	0	5217	176.65	17.02	3.22	10.87	19.95	14.55	43.07	1.40	41.17	12.82
5/16/2019 1:49:16 PM	6.22	0.17	5.27	0.00	0.00	0.00	0.00	0.26	11.65	100.00	4.24	14.50	3295	165	2371	0	0	0	0	0	5831	178.19	17.55	3.03	12.36	20.56	14.91	44.90	1.42	41.16	12.82
5/16/2019 1:49:19 PM	4.53	0.29	6.03	0.08	0.00	0.00	0.00	0.42	10.93	100.00	4.35	14.05	2403	290	2711	2	0	0	0	0	5407	176.22	19.07	4.38	12.85	21.41	14.75	44.55	1.43	41.16	12.82
5/16/2019 1:49:21 PM	4.92	0.18	5.41	0.30	0.00	0.00	0.00	0.26	10.81	100.00	4.46	12.99	2608	184	2433	9	0	0	0	0	5234	177.32	18.05	3.35	12.13	19.50	15.28	42.67	1.44	41.15	12.84
5/16/2019 1:49:24 PM	5.23	0.49	5.26	0.08	0.00	0.00	0.00	0.42	11.05	100.00	4.55	12.50	2770	486	2368	2	0	0	0	0	5625	176.40	17.86	3.38	13.16	21.17	15.88	43.43	1.45	41.13	12.83
5/16/2019 1:49:26 PM	5.88	0.44	5.56	0.00	0.00	0.00	0.00	0.24	11.89	100.00	4.65	12.91	3119	440	2504	0	0	0	0	0	6063	175.78	18.29	2.90	13.74	20.59	16.03	45.06	1.46	41.09	12.84
5/16/2019 1:49:28 PM	5.87	0.41	5.73	0.00	0.00	0.00	0.00	0.23	12.01	100.00	4.75	13.26	3114	411	2577	0	0	0	0	0	6102	176.76	18.57	3.72	13.78	20.83	15.92	45.73	1.47	41.09	12.82
5/16/2019 1:49:31 PM	5.32	0.25	5.77	0.30	0.00	0.00	0.00	0.31	11.65	100.00	4.86	13.12	2822	254	2598	9	0	0	0	0	5682	176.72	19.37	3.56	13.13	21.26	16.42	46.01	1.48	41.09	12.84
5/16/2019 1:49:33 PM	5.25	0.27	5.09	0.84	0.00	0.00	0.00	0.39	11.45	100.00	4.97	13.07	2783	271	2292	25	0	0	0	0	5370	176.22	19.60	4.44	13.92	21.80	17.65	45.82	1.49	41.08	12.82
5/16/2019 1:49:35 PM	5.65	0.21	5.00	0.58	0.00	0.00	0.00	0.36	11.44	100.00	5.08	13.19	2996	208	2250	17	0	0	0	0	5472	176.55	18.65	4.39	13.40	21.44	16.36	45.32	1.50	41.03	12.82
5/16/2019 1:49:38 PM	6.16	0.56	5.51	0.39	0.00	0.00	0.00	0.22	12.61	100.00	5.17	13.18	3265	557	2478	12	0	0	0	0	6312	176.26	19.49	4.43	15.29	21.46	18.12	47.29	1.51	41.02	12.81
5/16/2019 1:49:40 PM	6.25	0.48	4.96	0.79	0.00	0.00	0.00	0.31	12.47	100.00	5.26	13.61	3313	477	2231	24	0	0	0	0	6046	175.56	19.67	4.48	15.33	22.25	19.04	47.64	1.52	40.98	12.82
5/16/2019 1:49:43 PM	5.63	0.53	4.87	1.06	0.00	0.00	0.00	0.31	12.09	100.00	5.38	12.94	2985	528	2189	32	0	0	0	0	5734	175.70	19.94	5.38	15.82	21.70	19.35	46.44	1.53	40.97	12.82
5/16/2019 1:49:45 PM	5.60	0.47	4.11	1.60	0.00	0.00	0.00	0.32	11.78	100.00	5.48	11.53	2966	468	1851	48	0	0	0	0	5332	175.99	19.80	5.85	16.07	21.44	20.33	45.49	1.54	40.96	12.82
5/16/2019 1:49:47 PM	5.61	0.80	4.43	1.12	0.00	0.00	0.00	0.36	11.96	100.00	5.59	11.42	2975	802	1994	33	0	0	0	0	5804	176.20	19.43	5.56	16.77	21.82	20.25	45.26	1.55	40.92	12.79
5/16/2019 1:49:50 PM	5.26	1.06	5.12	0.65	0.00	0.00	0.00	0.37	12.10	100.00	5.72	11.45	2785	1064	2306	20	0	0	0	0	6174	175.68	19.71	4.71	16.99	21.96	20.40	45.28	1.56	40.87	12.82
5/16/2019 1:49:52 PM	5.35	0.54	3.26	1.80	0.00	0.00	0.00	0.34	10.96	100.00	5.85	10.71	2835	542	1468	54	0	0	0	0	4900	175.69	18.36	5.75	15.80	20.23	20.35	42.02	1.57	40.85	12.81
5/16/2019 1:49:54 PM	4.58	0.82	3.34	1.73	0.00	0.00	0.00	0.44	10.48	100.00	5.96	10.27	2427	820	1505	52	0	0	0	0	4804	175.71	18.33	6.42	16.59	20.38	20.42	40.49	1.58	40.80	12.81
5/16/2019 1:49:57 PM	5.62	0.54	2.54	2.27	0.00	0.00	0.00	0.29	10.97	100.00	6.05	10.63	2978	538	1145	68	0	0	0	0	4728	175.99	18.09	6.45	16.47	19.64	21.38	41.32	1.59	40.76	12.82
5/16/2019 1:49:59 PM	4.68	0.69	2.94	2.12	0.00	0.00	0.00	0.41	10.44	100.00	6.16	11.33	2482	687	1324	64	0	0	0	0	4557	175.68	18.48	6.53	16.51	20.12	21.13	40.49	1.60	40.71	12.81
5/16/2019 1:50:02 PM	3.82	1.07	3.53	1.75	0.00	0.00	0.00	0.42	10.17	100.00	6.27	11.39	2025	1074	1590	52	0	0	0	0	4741	175.69	18.55	6.46	17.24	19.66	21.20	38.88	1.61	40.65	12.81
