Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
2/8/2019 12:20:58 PM	1.58	0.02	2.41	0.82	0.00	0.00	0.00	0.36	4.83	100.00	0.27	6.51	840	25	1083	25	0	0	0	0	1972	174.37	10.62	2.58	7.01	11.42	10.40	21.76	1.03	35.31	11.21
2/8/2019 12:21:00 PM	2.61	0.14	2.31	0.56	0.00	0.00	0.00	0.26	5.63	99.72	0.27	6.41	1383	144	1041	17	0	0	0	0	2584	173.81	10.02	2.92	7.88	11.38	10.30	22.79	1.03	35.33	11.22
2/8/2019 12:21:02 PM	2.28	0.00	2.38	0.80	0.00	0.00	0.00	0.33	5.46	99.65	0.28	7.04	1207	0	1071	24	0	0	0	0	2302	173.69	10.71	3.50	7.30	11.97	10.48	23.64	1.03	35.33	11.21
2/8/2019 12:21:05 PM	3.68	0.00	2.15	0.39	0.00	0.00	0.00	0.22	6.22	100.00	0.28	7.57	1953	0	966	12	0	0	0	0	2930	174.57	9.49	2.15	7.12	11.76	10.12	24.43	1.03	35.33	11.23
2/8/2019 12:21:07 PM	2.83	0.00	2.53	0.47	0.00	0.00	0.00	0.25	5.83	100.00	0.29	8.26	1500	0	1139	14	0	0	0	0	2653	174.47	10.28	2.00	6.95	11.67	10.31	23.97	1.03	35.36	11.30
2/8/2019 12:21:10 PM	2.83	0.02	2.35	0.64	0.00	0.00	0.00	0.29	5.85	99.80	0.31	8.97	1502	19	1059	19	0	0	0	0	2600	173.95	10.45	3.12	7.79	12.12	10.24	24.22	1.03	35.41	11.25
2/8/2019 12:21:12 PM	2.06	0.01	2.68	0.68	0.00	0.00	0.00	0.33	5.43	100.00	0.37	8.06	1090	7	1207	20	0	0	0	0	2325	174.87	11.01	2.86	7.39	11.99	10.27	23.63	1.04	35.41	11.24
2/8/2019 12:21:14 PM	3.43	0.00	2.56	0.61	0.00	0.00	0.00	0.17	6.60	99.21	0.46	6.79	1817	0	1151	18	0	0	0	0	2987	172.91	10.75	4.15	8.04	11.97	10.48	26.07	1.04	35.47	11.24
2/8/2019 12:21:17 PM	3.48	0.00	2.71	0.58	0.00	0.00	0.00	0.13	6.77	100.00	0.51	7.20	1846	0	1219	17	0	0	0	0	3083	174.92	10.97	3.49	7.89	11.80	10.92	26.43	1.05	35.43	11.30
2/8/2019 12:21:19 PM	2.45	0.24	3.19	0.20	0.00	0.00	0.00	0.31	6.08	99.54	0.54	6.76	1299	238	1436	6	0	0	0	0	2980	173.49	11.12	2.43	8.05	12.62	10.37	24.99	1.05	35.46	11.31
2/8/2019 12:21:22 PM	3.04	0.32	3.43	0.00	0.00	0.00	0.00	0.21	6.80	100.00	0.54	5.68	1613	323	1545	0	0	0	0	0	3481	175.29	11.34	1.95	9.27	12.59	10.08	26.31	1.05	35.46	11.30
