
Advanced Calibration Data
,,Cal Date,coef 1, coef 2, coef 3, coef 4, coef 5, coef 6, coef 7, coef 8, coef 9
,Temperature(degC),unknown,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.00
,Pressure(psi),unknown,0.000000,-0.000189,0.995379,-0.000032,0.003576,0.347366,0.000000,1.000000,0.000000
,Power(V),unknown,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,DO(ppm),19-Feb-18 12:38,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,DO Temp(degC),unknown,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

Field Calibration Data
,,Cal Date,coef 1, coef 2, coef 3, coef 4, coef 5, coef 6, coef 7
,Temperature(degC),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,Pressure(psi),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,Power(V),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,DO(ppm),19-Feb-18 12:38,1.000000,0.130000,0.000000,0.000000,0.000000,1.000000,0.000000
,DO Temp(degC),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000

Sensor/File information
Sensor SN, 21230019 ,,Modbus Addr., 1 
Sensor Type,DO2,,Initialized w/fw Rev,"2. 130"
Sensor Name,FCR DO (1),,Uploaded,"Aqua4Plus 1.9.10"
File Name,FCR_DO_8m_20190318,,Exported,"Aqua4Plus 1.9.10"
# Records,  2685 
Statistical Data,,Temperature(degC),Pressure(psi),Power(V),DO(ppm),DO Temp(degC),
,Sensor Range,Custom,Custom,Custom,Custom,Custom,
,Minimum,5.563,26.212,12.579,7.810,5.510,
,Maximum,8.875,26.597,13.980,11.250,7.710,
,Mean,6.768,26.412,13.281,9.572,6.565,
,Variance,0.3837,0.0075,0.2377,0.7779,0.3645,
,Std Deviation,0.6195,0.0868,0.4875,0.8820,0.6038,
,,,,,,,
,,,,,,,
Rec #,Date/Time,Temperature(degC),Pressure(psi),Power(V),DO(ppm),DO Temp(degC)
1,18-Mar-19 12:00:00,5.688,26.468,13.891,11.170,5.620
2,18-Mar-19 12:15:00,5.750,26.481,13.861,11.250,5.620
3,18-Mar-19 12:30:00,5.688,26.463,13.891,11.250,5.590
4,18-Mar-19 12:45:00,5.688,26.474,13.891,11.250,5.600
5,18-Mar-19 13:00:00,5.688,26.480,13.920,11.140,5.580
6,18-Mar-19 13:15:00,5.688,26.470,13.891,11.160,5.570
7,18-Mar-19 13:30:00,5.688,26.482,13.920,11.060,5.540
8,18-Mar-19 13:45:00,5.688,26.477,13.891,11.080,5.540
9,18-Mar-19 14:00:00,5.625,26.479,13.861,11.060,5.520
10,18-Mar-19 14:15:00,5.625,26.485,13.891,10.970,5.520
11,18-Mar-19 14:30:00,5.625,26.478,13.891,11.100,5.520
12,18-Mar-19 14:45:00,5.563,26.475,13.920,11.030,5.510
13,18-Mar-19 15:00:00,5.563,26.462,13.920,11.040,5.520
14,18-Mar-19 15:15:00,5.563,26.464,13.920,11.050,5.520
15,18-Mar-19 15:30:00,5.563,26.487,13.920,11.030,5.530
16,18-Mar-19 15:45:00,5.563,26.473,13.891,11.110,5.560
17,18-Mar-19 16:00:00,5.625,26.483,13.920,11.170,5.550
18,18-Mar-19 16:15:00,5.625,26.474,13.920,11.080,5.570
19,18-Mar-19 16:30:00,5.625,26.476,13.920,11.160,5.570
20,18-Mar-19 16:45:00,5.625,26.494,13.920,11.120,5.540
21,18-Mar-19 17:00:00,7.063,26.518,13.891,11.040,5.640
22,18-Mar-19 17:15:00,5.688,26.502,13.920,11.040,5.550
23,18-Mar-19 17:30:00,7.125,26.530,13.920,11.050,5.690
24,18-Mar-19 17:45:00,5.813,26.461,13.920,11.140,5.610
25,18-Mar-19 18:00:00,5.750,26.496,13.891,11.170,5.600
26,18-Mar-19 18:15:00,5.813,26.490,13.354,11.210,5.620
27,18-Mar-19 18:30:00,5.813,26.515,13.354,11.200,5.590
28,18-Mar-19 18:45:00,5.750,26.510,13.265,11.090,5.550
29,18-Mar-19 19:00:00,5.688,26.513,13.116,11.000,5.520
30,18-Mar-19 19:15:00,5.625,26.502,13.026,10.930,5.520
31,18-Mar-19 19:30:00,5.625,26.505,12.966,10.900,5.530
32,18-Mar-19 19:45:00,5.625,26.471,12.937,10.930,5.540
33,18-Mar-19 20:00:00,5.688,26.524,12.966,10.950,5.550
34,18-Mar-19 20:15:00,5.625,26.525,12.937,10.940,5.550
35,18-Mar-19 20:30:00,5.625,26.510,12.937,10.920,5.560
36,18-Mar-19 20:45:00,5.625,26.510,12.937,10.970,5.580
37,18-Mar-19 21:00:00,5.688,26.515,12.907,11.120,5.580
38,18-Mar-19 21:15:00,5.625,26.541,12.907,11.120,5.570
39,18-Mar-19 21:30:00,5.625,26.538,12.907,11.100,5.560
40,18-Mar-19 21:45:00,5.563,26.529,12.907,11.090,5.570
41,18-Mar-19 22:00:00,5.625,26.550,12.907,11.130,5.560
42,18-Mar-19 22:15:00,5.563,26.545,12.907,11.140,5.560
43,18-Mar-19 22:30:00,5.563,26.544,12.847,11.090,5.550
44,18-Mar-19 22:45:00,5.563,26.544,12.877,11.040,5.560
45,18-Mar-19 23:00:00,5.563,26.548,12.847,11.020,5.570
46,18-Mar-19 23:15:00,5.625,26.552,12.847,11.110,5.570
47,18-Mar-19 23:30:00,5.625,26.536,12.817,11.040,5.580
48,18-Mar-19 23:45:00,5.625,26.532,12.817,11.100,5.600
49,19-Mar-19 00:00:00,5.688,26.562,12.847,11.140,5.610
50,19-Mar-19 00:15:00,5.688,26.540,12.817,11.140,5.670
51,19-Mar-19 00:30:00,5.688,26.541,12.817,11.160,5.690
52,19-Mar-19 00:45:00,5.688,26.553,12.817,11.180,5.700
53,19-Mar-19 01:00:00,5.750,26.536,12.817,11.150,5.740
54,19-Mar-19 01:15:00,5.750,26.533,12.788,11.120,5.740
55,19-Mar-19 01:30:00,5.813,26.542,12.788,11.170,5.760
