
Advanced Calibration Data
,,Cal Date,coef 1, coef 2, coef 3, coef 4, coef 5, coef 6, coef 7, coef 8, coef 9
,Temperature(degC),unknown,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.00
,Pressure(psi),unknown,0.000000,-0.000189,0.995379,-0.000032,0.003576,0.347366,0.000000,1.000000,0.000000
,Power(V),unknown,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,DO(ppm),19-Feb-18 12:38,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,DO Temp(degC),unknown,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

Field Calibration Data
,,Cal Date,coef 1, coef 2, coef 3, coef 4, coef 5, coef 6, coef 7
,Temperature(degC),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,Pressure(psi),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,Power(V),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,DO(ppm),19-Feb-18 12:38,1.000000,0.130000,0.000000,0.000000,0.000000,1.000000,0.000000
,DO Temp(degC),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000

Sensor/File information
Sensor SN, 21230019 ,,Modbus Addr., 1 
Sensor Type,DO2,,Initialized w/fw Rev,"2. 130"
Sensor Name,FCR DO (1),,Uploaded,"Aqua4Plus 1.9.10"
File Name,DO_8m_20190208,,Exported,"Aqua4Plus 1.9.10"
# Records,  3631 
Statistical Data,,Temperature(degC),Pressure(psi),Power(V),DO(ppm),DO Temp(degC),
,Sensor Range,Custom,Custom,Custom,Custom,Custom,
,Minimum,4.250,26.193,12.639,11.020,4.130,
,Maximum,6.813,26.722,14.010,13.210,6.290,
,Mean,5.104,26.457,13.220,12.088,5.058,
,Variance,0.1800,0.0102,0.2307,0.2508,0.1533,
,Std Deviation,0.4242,0.1008,0.4803,0.5008,0.3915,
,,,,,,,
,,,,,,,
Rec #,Date/Time,Temperature(degC),Pressure(psi),Power(V),DO(ppm),DO Temp(degC)
60,9-Feb-19 05:45:00,5.500,26.553,12.728,12.790,5.500
61,9-Feb-19 06:00:00,5.500,26.595,12.728,12.820,5.510
62,9-Feb-19 06:15:00,5.438,26.592,12.698,12.820,5.500
63,9-Feb-19 06:30:00,5.438,26.590,12.728,12.900,4.890
64,9-Feb-19 06:45:00,5.375,26.607,12.698,12.710,5.300
65,9-Feb-19 07:00:00,5.375,26.597,12.728,12.770,5.240
66,9-Feb-19 07:15:00,5.375,26.593,12.698,12.770,5.340
67,9-Feb-19 07:30:00,5.375,26.604,12.698,12.760,5.390
68,9-Feb-19 07:45:00,5.375,26.599,12.728,12.810,5.400
69,9-Feb-19 08:00:00,5.375,26.601,12.817,12.830,5.410
70,9-Feb-19 08:15:00,5.375,26.625,12.996,12.850,5.370
71,9-Feb-19 08:30:00,5.375,26.641,13.443,12.800,5.350
72,9-Feb-19 08:45:00,5.313,26.634,13.861,12.770,5.260
73,9-Feb-19 09:00:00,5.313,26.633,13.920,12.780,5.280
74,9-Feb-19 09:15:00,5.313,26.653,13.891,12.740,5.290
75,9-Feb-19 09:30:00,5.313,26.633,13.920,12.770,5.290
76,9-Feb-19 09:45:00,5.313,26.651,13.920,12.770,5.310
77,9-Feb-19 10:00:00,5.313,26.657,13.920,12.810,5.270
78,9-Feb-19 10:15:00,5.313,26.664,13.920,12.770,5.300
79,9-Feb-19 10:30:00,5.313,26.660,13.950,12.810,5.300
80,9-Feb-19 10:45:00,5.313,26.657,13.950,12.800,5.310
81,9-Feb-19 11:00:00,5.313,26.622,13.920,12.790,5.340
82,9-Feb-19 11:15:00,5.313,26.618,13.891,12.810,5.360
83,9-Feb-19 11:30:00,5.313,26.640,13.920,12.830,5.370
84,9-Feb-19 11:45:00,5.313,26.655,13.950,12.810,5.370
85,9-Feb-19 12:00:00,5.375,26.639,13.920,12.840,5.390
86,9-Feb-19 12:15:00,5.375,26.653,13.950,12.870,5.330
87,9-Feb-19 12:30:00,5.375,26.650,13.920,12.810,5.370
88,9-Feb-19 12:45:00,5.375,26.660,13.920,12.830,5.360
89,9-Feb-19 13:00:00,5.313,26.652,13.950,12.840,5.340
90,9-Feb-19 13:15:00,5.375,26.645,13.920,12.830,5.320
91,9-Feb-19 13:30:00,5.375,26.651,13.920,12.780,5.280
92,9-Feb-19 13:45:00,5.375,26.651,13.920,12.780,5.240
93,9-Feb-19 14:00:00,5.375,26.639,13.950,12.780,5.240
94,9-Feb-19 14:15:00,5.313,26.586,13.920,12.770,5.240
95,9-Feb-19 14:30:00,5.313,26.615,13.920,12.720,5.290
96,9-Feb-19 14:45:00,5.313,26.640,13.920,12.770,5.310
97,9-Feb-19 15:00:00,5.375,26.614,13.920,12.790,5.320
98,9-Feb-19 15:15:00,5.313,26.637,13.920,12.750,5.330
99,9-Feb-19 15:30:00,5.313,26.618,13.920,12.790,5.350
100,9-Feb-19 15:45:00,5.313,26.638,13.920,12.810,5.360
101,9-Feb-19 16:00:00,5.375,26.636,13.920,12.860,5.330
102,9-Feb-19 16:15:00,5.375,26.619,13.920,12.830,5.350
103,9-Feb-19 16:30:00,5.375,26.635,13.861,12.830,5.290
104,9-Feb-19 16:45:00,5.375,26.604,13.861,12.790,5.180
105,9-Feb-19 17:00:00,5.375,26.624,13.831,12.710,5.220
106,9-Feb-19 17:15:00,5.375,26.637,13.771,12.680,5.190
107,9-Feb-19 17:30:00,5.375,26.623,13.712,12.690,5.250
108,9-Feb-19 17:45:00,5.313,26.629,13.533,12.720,5.260
109,9-Feb-19 18:00:00,5.313,26.617,13.354,12.720,5.220
110,9-Feb-19 18:15:00,5.313,26.624,13.235,12.720,5.240
111,9-Feb-19 18:30:00,5.313,26.625,13.175,12.750,5.290
112,9-Feb-19 18:45:00,5.375,26.645,13.145,12.760,5.340
113,9-Feb-19 19:00:00,5.375,26.643,13.116,12.770,5.340
114,9-Feb-19 19:15:00,5.375,26.645,13.026,12.800,5.270
115,9-Feb-19 19:30:00,5.375,26.626,12.996,12.780,5.300
116,9-Feb-19 19:45:00,5.375,26.630,12.996,12.740,5.280
117,9-Feb-19 20:00:00,5.375,26.611,12.966,12.720,5.280
118,9-Feb-19 20:15:00,5.375,26.643,12.937,12.750,5.290
119,9-Feb-19 20:30:00,5.375,26.649,12.966,12.770,5.290
120,9-Feb-19 20:45:00,5.375,26.637,12.937,12.780,5.330
121,9-Feb-19 21:00:00,5.313,26.644,12.907,12.810,5.300
122,9-Feb-19 21:15:00,5.313,26.630,12.877,12.750,5.250
123,9-Feb-19 21:30:00,5.313,26.654,12.907,12.720,5.260
124,9-Feb-19 21:45:00,5.313,26.662,12.907,12.740,5.250
125,9-Feb-19 22:00:00,5.313,26.655,12.877,12.770,5.290
126,9-Feb-19 22:15:00,5.250,26.639,12.847,12.800,5.270
127,9-Feb-19 22:30:00,5.313,26.659,12.877,12.860,5.330
128,9-Feb-19 22:45:00,5.313,26.653,12.847,12.870,5.320
129,9-Feb-19 23:00:00,5.250,26.624,12.847,12.860,5.310
130,9-Feb-19 23:15:00,5.250,26.630,12.817,12.850,5.260
131,9-Feb-19 23:30:00,5.250,26.654,12.817,12.850,5.260
132,9-Feb-19 23:45:00,5.250,26.625,12.817,12.870,5.270
133,10-Feb-19 00:00:00,5.250,26.636,12.817,12.870,5.260
134,10-Feb-19 00:15:00,5.250,26.609,12.758,12.870,5.260
135,10-Feb-19 00:30:00,5.250,26.644,12.817,12.910,5.250
136,10-Feb-19 00:45:00,5.250,26.647,12.788,12.870,5.250
137,10-Feb-19 01:00:00,5.250,26.619,12.788,12.850,5.220
138,10-Feb-19 01:15:00,5.250,26.629,12.758,12.860,5.210
139,10-Feb-19 01:30:00,5.250,26.632,12.758,12.790,5.230
140,10-Feb-19 01:45:00,5.188,26.639,12.788,12.790,5.220
141,10-Feb-19 02:00:00,5.188,26.628,12.758,12.800,5.210
142,10-Feb-19 02:15:00,5.188,26.622,12.728,12.830,5.170
143,10-Feb-19 02:30:00,5.125,26.653,12.758,12.860,5.140
144,10-Feb-19 02:45:00,5.125,26.649,12.758,12.840,5.170
145,10-Feb-19 03:00:00,5.125,26.632,12.728,12.890,5.180
146,10-Feb-19 03:15:00,5.125,26.647,12.728,12.880,5.170
